week,pais,valor
2018-05-28,Dinamarca,1672
2018-05-28,Estonia,1365
2018-05-28,Finlandia,1579
2018-05-28,Francia,1564
2018-05-28,Alemania,1475
2018-05-28,Grecia,1647
2018-05-28,Hungría,1250
2018-05-28,Irlanda,1469
2018-05-28,Italia,1642
2018-05-28,Letonia,1299
2018-05-28,Lituania,1264
2018-05-28,Luxemburgo,1282
2018-05-28,Países Bajos,1689
2018-05-28,Polonia,1194
2018-05-28,Portugal,1601
2018-05-28,Rumanía,1243
2018-05-28,Eslovaquia,1417
2018-05-28,Eslovenia,1352
2018-05-28,España,1335
2018-05-28,Suecia,1552
2018-05-28,Reino Unido,1459
2018-06-04,Austria,1308
2018-06-04,Bélgica,1490
2018-06-04,Bulgaria,1124
2018-06-04,Croacia,1431
2018-06-04,Chipre,1331
2018-06-04,República Checa,1291
2018-06-04,Dinamarca,1659
2018-06-04,Estonia,1381
2018-06-04,Finlandia,1585
2018-06-04,Francia,1561
2018-06-04,Alemania,1472
2018-06-04,Grecia,1654
2018-06-04,Hungría,1253
2018-06-04,Irlanda,1459
2018-06-04,Italia,1649
2018-06-04,Letonia,1300
2018-06-04,Lituania,1262
2018-06-04,Luxemburgo,1267
2018-06-04,Países Bajos,1680
2018-06-04,Polonia,1197
2018-06-04,Portugal,1599
2018-06-04,Rumanía,1252
2018-06-04,Eslovaquia,1438
2018-06-04,Eslovenia,1352
2018-06-04,España,1337
2018-06-04,Suecia,1554
2018-06-04,Reino Unido,1465
2018-06-11,Austria,1295
2018-06-11,Bélgica,1411
2018-06-11,Bulgaria,1132
2018-06-11,Croacia,1421
2018-06-11,Chipre,1331
2018-06-11,República Checa,1294
2018-06-11,Dinamarca,1644
2018-06-11,Estonia,1375
2018-06-11,Finlandia,1583
2018-06-11,Francia,1549
2018-06-11,Alemania,1459
2018-06-11,Grecia,1654
2018-06-11,Hungría,1231
2018-06-11,Irlanda,1489
2018-06-11,Italia,1648
2018-06-11,Letonia,1314
2018-06-11,Lituania,1257
2018-06-11,Luxemburgo,1267
2018-06-11,Países Bajos,1664
2018-06-11,Polonia,1193
2018-06-11,Portugal,1583
2018-06-11,Rumanía,1247
2018-06-11,Eslovaquia,1417
2018-06-11,Eslovenia,1358
2018-06-11,España,1333
2018-06-11,Suecia,1537
2018-06-11,Reino Unido,1458
2018-06-18,Austria,1294
2018-06-18,Bélgica,1443
2018-06-18,Bulgaria,1138
2018-06-18,Croacia,1404
2018-06-18,Chipre,1328
2018-06-18,República Checa,1287
2018-06-18,Dinamarca,1631
2018-06-18,Estonia,1350
2018-06-18,Finlandia,1568
2018-06-18,Francia,1547
2018-06-18,Alemania,1454
2018-06-18,Grecia,1642
2018-06-18,Hungría,1220
2018-06-18,Irlanda,1449
2018-06-18,Italia,1645
2018-06-18,Letonia,1313
2018-06-18,Lituania,1252
2018-06-18,Luxemburgo,1267
2018-06-18,Países Bajos,1658
2018-06-18,Polonia,1176
2018-06-18,Portugal,1577
2018-06-18,Rumanía,1222
2018-06-18,Eslovaquia,1396
2018-06-18,Eslovenia,1364
2018-06-18,España,1328
2018-06-18,Suecia,1521
2018-06-18,Reino Unido,1459
2018-06-25,Austria,1281
2018-06-25,Bélgica,1438
2018-06-25,Bulgaria,1137
2018-06-25,Croacia,1396
2018-06-25,Chipre,1320
2018-06-25,República Checa,1272
2018-06-25,Dinamarca,1617
2018-06-25,Estonia,1320
2018-06-25,Finlandia,1563
2018-06-25,Francia,1539
2018-06-25,Alemania,1444
2018-06-25,Grecia,1635
2018-06-25,Hungría,1211
2018-06-25,Irlanda,1499
2018-06-25,Italia,1637
2018-06-25,Letonia,1309
2018-06-25,Lituania,1254
2018-06-25,Luxemburgo,1257
2018-06-25,Países Bajos,1650
2018-06-25,Polonia,1158
2018-06-25,Portugal,1573
2018-06-25,Rumanía,1219
2018-06-25,Eslovaquia,1397
2018-06-25,Eslovenia,1355
2018-06-25,España,1320
2018-06-25,Suecia,1515
2018-06-25,Reino Unido,1445
2018-07-02,Austria,1288
2018-07-02,Bélgica,1489
2018-07-02,Bulgaria,1133
2018-07-02,Croacia,1392
2018-07-02,Chipre,1315
2018-07-02,República Checa,1268
2018-07-02,Dinamarca,1644
2018-07-02,Estonia,1373
2018-07-02,Finlandia,1541
2018-07-02,Francia,1534
2018-07-02,Alemania,1462
2018-07-02,Grecia,1633
2018-07-02,Hungría,1195
2018-07-02,Irlanda,1449
2018-07-02,Italia,1632
2018-07-02,Letonia,1307
2018-07-02,Lituania,1251
2018-07-02,Luxemburgo,1257
2018-07-02,Países Bajos,1667
2018-07-02,Polonia,1143
2018-07-02,Portugal,1574
2018-07-02,Rumanía,1227
2018-07-02,Eslovaquia,1396
2018-07-02,Eslovenia,1344
2018-07-02,España,1318
2018-07-02,Suecia,1521
2018-07-02,Reino Unido,1427
2018-07-09,Austria,1292
2018-07-09,Bélgica,1433
2018-07-09,Bulgaria,1133
2018-07-09,Croacia,1401
2018-07-09,Chipre,1312
2018-07-09,República Checa,1282
2018-07-09,Dinamarca,1644
2018-07-09,Estonia,1365
2018-07-09,Finlandia,1566
2018-07-09,Francia,1532
2018-07-09,Alemania,1458
2018-07-09,Grecia,1643
2018-07-09,Hungría,1253
2018-07-09,Irlanda,1439
2018-07-09,Italia,1633
2018-07-09,Letonia,1308
2018-07-09,Lituania,1263
2018-07-09,Luxemburgo,1274
2018-07-09,Países Bajos,1666
2018-07-09,Polonia,1174
2018-07-09,Portugal,1579
2018-07-09,Rumanía,1234
2018-07-09,Eslovaquia,1414
2018-07-09,Eslovenia,1344
2018-07-09,España,1326
2018-07-09,Suecia,1545
2018-07-09,Reino Unido,1437
2018-07-16,Austria,1287
2018-07-16,Bélgica,1444
2018-07-16,Bulgaria,1134
2018-07-16,Croacia,1408
2018-07-16,Chipre,1322
2018-07-16,República Checa,1280
2018-07-16,Dinamarca,1643
2018-07-16,Estonia,1339
2018-07-16,Finlandia,1533
2018-07-16,Francia,1542
2018-07-16,Alemania,1455
2018-07-16,Grecia,1645
2018-07-16,Hungría,1252
2018-07-16,Irlanda,1479
2018-07-16,Italia,1632
2018-07-16,Letonia,1306
2018-07-16,Lituania,1256
2018-07-16,Luxemburgo,1261
2018-07-16,Países Bajos,1658
2018-07-16,Polonia,1189
2018-07-16,Portugal,1581
2018-07-16,Rumanía,1229
2018-07-16,Eslovaquia,1397
2018-07-16,Eslovenia,1345
2018-07-16,España,1326
2018-07-16,Suecia,1531
2018-07-16,Reino Unido,1444
2018-07-23,Austria,1280
2018-07-23,Bélgica,1407
2018-07-23,Bulgaria,1134
2018-07-23,Croacia,1404
2018-07-23,Chipre,1321
2018-07-23,República Checa,1276
2018-07-23,Dinamarca,1658
2018-07-23,Estonia,1370
2018-07-23,Finlandia,1552
2018-07-23,Francia,1532
2018-07-23,Alemania,1451
2018-07-23,Grecia,1639
2018-07-23,Hungría,1210
2018-07-23,Irlanda,1439
2018-07-23,Italia,1629
2018-07-23,Letonia,1306
2018-07-23,Lituania,1256
2018-07-23,Luxemburgo,1242
2018-07-23,Países Bajos,1649
2018-07-23,Polonia,1179
2018-07-23,Portugal,1527
2018-07-23,Rumanía,1221
2018-07-23,Eslovaquia,1384
2018-07-23,Eslovenia,1347
2018-07-23,España,1318
2018-07-23,Suecia,1529
2018-07-23,Reino Unido,1430
2018-07-30,Austria,1283
2018-07-30,Bélgica,1428
2018-07-30,Bulgaria,1133
2018-07-30,Croacia,1381
2018-07-30,Chipre,1315
2018-07-30,República Checa,1285
2018-07-30,Dinamarca,1658
2018-07-30,Estonia,1351
2018-07-30,Finlandia,1552
2018-07-30,Francia,1525
2018-07-30,Alemania,1466
2018-07-30,Grecia,1637
2018-07-30,Hungría,1235
2018-07-30,Irlanda,1459
2018-07-30,Italia,1628
2018-07-30,Letonia,1306
2018-07-30,Lituania,1234
2018-07-30,Luxemburgo,1263
2018-07-30,Países Bajos,1676
2018-07-30,Polonia,1189
2018-07-30,Portugal,1585
2018-07-30,Rumanía,1223
2018-07-30,Eslovaquia,1375
2018-07-30,Eslovenia,1354
2018-07-30,España,1319
2018-07-30,Suecia,1571
2018-07-30,Reino Unido,1432
2018-08-06,Austria,1289
2018-08-06,Bélgica,1449
2018-08-06,Bulgaria,1137
2018-08-06,Croacia,1406
2018-08-06,Chipre,1317
2018-08-06,República Checa,1289
2018-08-06,Dinamarca,1668
2018-08-06,Estonia,1380
2018-08-06,Finlandia,1583
2018-08-06,Francia,1545
2018-08-06,Alemania,1475
2018-08-06,Grecia,1643
2018-08-06,Hungría,1257
2018-08-06,Irlanda,1479
2018-08-06,Italia,1629
2018-08-06,Letonia,1298
2018-08-06,Lituania,1254
2018-08-06,Luxemburgo,1278
2018-08-06,Países Bajos,1688
2018-08-06,Polonia,1191
2018-08-06,Portugal,1597
2018-08-06,Rumanía,1229
2018-08-06,Eslovaquia,1400
2018-08-06,Eslovenia,1351
2018-08-06,España,1325
2018-08-06,Suecia,1563
2018-08-06,Reino Unido,1434
2018-08-13,Austria,1294
2018-08-13,Bélgica,1439
2018-08-13,Bulgaria,1139
2018-08-13,Croacia,1400
2018-08-13,Chipre,1318
2018-08-13,República Checa,1288
2018-08-13,Dinamarca,1654
2018-08-13,Estonia,1368
2018-08-13,Finlandia,1554
2018-08-13,Francia,1547
2018-08-13,Alemania,1479
2018-08-13,Grecia,1644
2018-08-13,Hungría,1238
2018-08-13,Irlanda,1459
2018-08-13,Italia,1629
2018-08-13,Letonia,1299
2018-08-13,Lituania,1241
2018-08-13,Luxemburgo,1278
2018-08-13,Países Bajos,1679
2018-08-13,Polonia,1183
2018-08-13,Portugal,1596
2018-08-13,Rumanía,1228
2018-08-13,Eslovaquia,1415
2018-08-13,Eslovenia,1343
2018-08-13,España,1327
2018-08-13,Suecia,1546
2018-08-13,Reino Unido,1437
2018-08-20,Austria,1298
2018-08-20,Bélgica,1433
2018-08-20,Bulgaria,1139
2018-08-20,Croacia,1397
2018-08-20,Chipre,1318
2018-08-20,República Checa,1286
2018-08-20,Dinamarca,1653
2018-08-20,Estonia,1375
2018-08-20,Finlandia,1584
2018-08-20,Francia,1545
2018-08-20,Alemania,1481
2018-08-20,Grecia,1644
2018-08-20,Hungría,1240
2018-08-20,Irlanda,1459
2018-08-20,Italia,1628
2018-08-20,Letonia,1297
2018-08-20,Lituania,1253
2018-08-20,Luxemburgo,1278
2018-08-20,Países Bajos,1682
2018-08-20,Polonia,1180
2018-08-20,Portugal,1592
2018-08-20,Rumanía,1229
2018-08-20,Eslovaquia,1413
2018-08-20,Eslovenia,1346
2018-08-20,España,1328
2018-08-20,Suecia,1530
2018-08-20,Reino Unido,1439
2018-08-27,Austria,1297
2018-08-27,Bélgica,1470
2018-08-27,Bulgaria,1139
2018-08-27,Croacia,1395
2018-08-27,Chipre,1318
2018-08-27,República Checa,1284
2018-08-27,Dinamarca,1653
2018-08-27,Estonia,1343
2018-08-27,Finlandia,1581
